site_id,name,latitude,longitude,operator,n_refill_points,max_power_kw,connector_types,type_of_site,Carretera,Tipo_de_via
5F8YTKQOHZIDYDP2ZH77,"Repsol ES, Lazcaba S.L.",38.926872,-6.322177,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-5,Carretera convencional
2024004068,La Albuera,38.71658,-6.824425,WENEA EMOBILITY SERVICES S.L.,1,7.4,iec62196T2,onstreet,N-432A,Carretera convencional
2025000660,Hortigüela Calle Espolón - 01,42.0695,-3.4271,CHARGING TOGETHER SL,2,100.0,iec62196T2COMBO,onstreet,N-234A,Carretera convencional
2024004164,KIA Hipergar,42.56552,-6.666784,WENEA EMOBILITY SERVICES S.L.,4,100.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-6,Carretera convencional
2024000310,LE-ToraldelosVados-001,42.544025,-6.78222,IBERDROLA CLIENTES S.A.U,2,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-120,Carretera convencional
PV5I8IA2Q4BAKWTXM4LX,Hotel La Colina,41.559,-4.870671,"Wenea Services Spain, S.L.",4,100.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,A-62,Autopista libre\Autovía
U9BZSJP1ZPLNYVRU86TU,Gandesa - LAFON EdRR 2 Estació,41.05751,0.44118,"Etecnic Movilidad Electrica, SRL",2,55.0,chademo|iec62196T2|iec62196T2COMBO,other,N-420,Carretera convencional
SLFLYA3MGEVUASJNPHNS,"Repsol ES, CRED AMOREBIETA",43.2288,-2.753252,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-634,
PZD9R1LTZUK7KDAZCOSJ,"Repsol ES, Gex S.L",41.115513,1.222382,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-340,Carretera convencional
2024003916,DIPBA Talavera la Real,38.87999,-6.773347,WENEA EMOBILITY SERVICES S.L.,2,22.0,iec62196T2,onstreet,N-5,Carretera convencional
2024003944,DIPBA Santa Marta de los Barros,38.61547,-6.631389,WENEA EMOBILITY SERVICES S.L.,2,22.0,iec62196T2,onstreet,N-432A,Carretera convencional
2024006717,AYUNTAMIENTO DE CASAS BAJAS,40.022846,-1.26065,"FENIE ENERGIA, SA",1,7.4,domesticF|iec62196T2,openSpace,N-330A,Carretera convencional
2024004660,SHELL CAPMANY MONTAÑA (N),42.38007,2.8905396,Prio Recharge Sl.,2,60.0,iec62196T2COMBO,other,N-2,Carretera convencional
2023003632,61943050290012,42.101185,0.485232,"ENDESA X WAY, S.L.",3,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-230,Carretera convencional
2024003996,Asador Arraiz,43.24151,-2.960092,WENEA EMOBILITY SERVICES S.L.,6,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,AP-8,Autopista peaje
2024006415,"Barbastro, Spain",42.03384,0.104106,Tesla Spain SLU,8,250.0,iec62196T2COMBO,openSpace,N-240,Carretera convencional
0VLWWSNL8OPWDGHXWPTY,"Repsol ES, Lucia E Hijos Villa Gutierrez",39.083492,-4.616153,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-430,Carretera convencional
2024000435,NA-Ezcabarte-001,42.856155,-1.619069,IBERDROLA CLIENTES S.A.U,1,50.0,chademo|iec62196T2COMBO,onstreet,N-121-A,Carretera convencional
8GPCXJTSMD3UF0OQQNBP,"Repsol, DC - Cabezuela del Valle",40.191193,-5.806582,REPSOL SOLUCIONES ENERGÉTICAS SA,2,22.17,iec62196T2,onstreet,N-110,Carretera convencional
YNWKDSGSOOJPYSQI1LFY,Consum - Casas-Ibáñez,39.28478,-1.47229,CHARGING TOGETHER SL,2,100.0,chademo|iec62196T2COMBO,openSpace,N-322A,Carretera convencional
S9CUQAPYVU3XXQLW3LAW,"Repsol ES, MAYFAL S.L.",43.484028,-5.430796,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-632,Carretera convencional
2024003566,Hotel IBIS Styles Figueres Ronda,42.257084,2.963613,Punto Recargas SL,3,90.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-2A,Carretera convencional
YOIQLXDWAUXBACLO28LP,"Repsol ES, Crisfal Lusopor, S.L.",39.409634,-7.241979,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-521,Carretera convencional
LZDYTDNHPUHTJULN7GKF,"Repsol ES, CRED Bejar I",40.384197,-5.76269,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-630A,Carretera convencional
KWZHDZLGXUK0NK7CYFJA,A-ELCHE-027,38.292107,-0.591667,IBERDROLA CLIENTES S.A.U,2,50.0,iec62196T2COMBO,,N-340,Carretera convencional
2023003212,61934038200011,41.558784,2.254843,"ENDESA X WAY, S.L.",3,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,AP-7N,Autopista peaje
2024002244,A-Torrevieja-008,37.929184,-0.73902,IBERDROLA CLIENTES S.A.U,4,22.0,iec62196T2,openSpace,AP-7N,Autopista peaje
2024003829,SO-NAVALENO-001,41.83688,-3.00651,IBERDROLA CLIENTES S.A.U,4,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-234,Carretera convencional
2024005135,12044699570001,37.13281,-4.696101,"ENDESA X WAY, S.L.",3,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,A-92,Autopista libre\Autovía
2025000411,O-VEGADEO-02,43.464363,-7.051358,IBERDROLA CLIENTES S.A.U,2,7.4,iec62196T2,,N-640,Carretera convencional
W0920HMPET4EDNKEZ76O,TotalEnergies - Asador Arraiz,43.241497,-2.960112,"TotalEnergies Charging Services España, SLU",3,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,AP-8,Autopista peaje
EQCCEDSKKITXDEUGRNCU,E-A-Elche/elx-104,38.261784,-0.708189,IBERDROLA CLIENTES S.A.U,2,22.0,iec62196T2,openSpace,N-340,Carretera convencional
2023003140,21XP22T3KKJAK00519,37.675327,-4.555193,"ENDESA X WAY, S.L.",2,22.0,iec62196T2,openSpace,N-432,Carretera convencional
2024000470,E-AV-SanPedroDelArroyo-001,40.801815,-4.870006,IBERDROLA CLIENTES S.A.U,2,22.0,iec62196T2,onstreet,N-501,Carretera convencional
2024000314,L-BellverdeCerdanya-002,42.37341,1.775243,IBERDROLA CLIENTES S.A.U,4,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-260,Carretera convencional
GAYHZGF67PSDXZI6NS56,Iberdoex - Los Pantanos,39.17104,-5.047223,CHARGING TOGETHER SL,2,100.0,chademo|iec62196T2COMBO,onstreet,N-502,Carretera convencional
QXHUZRV2RPAVII7M0NLY,"Repsol ES, Rosa Maria Folla Fernandez",42.417934,-6.824132,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-536,Carretera convencional
2023003221,61922022550002,42.4084,0.742,"ENDESA X WAY, S.L.",3,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-230,Carretera convencional
2024004882,HOTEL CIUDAD DE ALCAÑIZ SA,41.052532,-0.1533179,HOTEL CIUDAD DE ALCAÑIZ SA,1,22.0,iec62196T2,inBuilding,N-232A,Carretera convencional
RDBVI6H5HOTIPVCOGUGH,E-T-Campsa-001,41.114937,1.205527,IBERDROLA CLIENTES S.A.U,6,7.4,iec62196T2,openSpace,N-340,Carretera convencional
2024006401,"Aranda de Duero, Spain",41.623672,-3.686607,Tesla Spain SLU,8,150.0,iec62196T2|iec62196T2COMBO,openSpace,N-1,Carretera convencional
2025000245,Telpark - Passeig Nou Centre,42.266502,2.9579804,MAKSU ESPAÑA SL,7,22.0,iec62196T2,inBuilding,N-2A,Carretera convencional
2024007472,San Vicente de la Barquera,43.383804,-4.399194,"FENIE ENERGIA, SA",1,7.4,domesticF|iec62196T2,onstreet,N-634,Carretera convencional
IVSZQXQX72PGG21T12OT,"Repsol, DC - Valencia de Alcántara",39.409443,-7.246477,REPSOL SOLUCIONES ENERGÉTICAS SA,2,22.17,iec62196T2,onstreet,N-521,Carretera convencional
2024004193,Hotel Elba Estepona,36.40881,-5.186244,WENEA EMOBILITY SERVICES S.L.,4,22.0,iec62196T2,onstreet,A-7S,Multicarril
GSWOUB0KTEWRQKY3E7LU,"Mercadona, Av. Santiago, Ourense",42.348778,-7.868943,REPSOL SOLUCIONES ENERGÉTICAS SA,2,22.17,iec62196T2,openSpace,N-525,Carretera convencional
2024004835,JANEIRO RANILLA SUMINISTROS ALTO LEON SL,42.636784,-5.589879,"JANEIRO RANILLA SUMINISTROS ALTOLEON, S.L.",1,50.0,iec62196T1COMBO,other,N-630,Carretera convencional
ERKDT9CFOPCWTNPQOUWT,"Av. Alcalde José Ramírez Bethencourt, 12",28.11415,-15.417791,Consejo Insular de la Energía de Gran Canaria,3,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,GC-1 AM,Multicarril
DMLQOCUBWNW43SNXYMM1,"Repsol ES, Petronalca S.L.",43.219044,-2.408673,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-634,
2024000888,SO-BurgodeOsma-004,41.587654,-3.065255,IBERDROLA CLIENTES S.A.U,2,22.0,iec62196T2,openSpace,N-122,Carretera convencional
2025000566,Consum - Elche,38.26141,-0.712164,CHARGING TOGETHER SL,2,50.0,iec62196T2COMBO,openSpace,N-340,Carretera convencional
YDUYM4PW73SXLTIASGFW,"Repsol ES, Abós",42.56688,-0.55431,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-330A,Carretera convencional
WQGHP5OOP5CPWZJHV8DP,TotalEnergies - Hotel Narcea,43.355587,-4.112814,"TotalEnergies Charging Services España, SLU",6,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-634,Carretera convencional
2024002373,E-S-Santander-007,43.45054,-3.860393,IBERDROLA CLIENTES S.A.U,2,50.0,iec62196T2|iec62196T2COMBO,,N-611,Carretera convencional
6OL5UKEESEHYJLBNZJLK,"Repsol ES, Medina y Valero",39.05966,-1.053334,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-330,Carretera convencional
2024004770,E-BI-Berriz-002,43.16579,-2.58226,IBERDROLA CLIENTES S.A.U,2,22.0,iec62196T2,,N-634,
LKTMG1R60N6BTRJMHFKI,"Repsol ES, Fuentes De Ebro",41.51486,-0.636486,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-232A,Carretera convencional
ORFKDTBASRVFXWBFWHQW,"Repsol ES, CRED CASTILLETE",38.69783,-4.10576,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-420,Carretera convencional
2024002234,E-A-Altea-008,38.6201,-0.02806,IBERDROLA CLIENTES S.A.U,2,22.0,iec62196T2,onstreet,N-332,Carretera convencional
2024000781,E-S-Camargo-002,43.439312,-3.891163,IBERDROLA CLIENTES S.A.U,4,22.0,iec62196T2,,N-611,Carretera convencional
VUYXHYK5FKKSQIVZITAX,AN Energéticos Castejón,42.179222,-1.69661,CHARGING TOGETHER SL,2,150.0,iec62196T2COMBO,onstreet,N-113,Carretera convencional
HQVF8R5I19C00VPX3AIF,"Repsol ES, CRED Cardeñajimeno",42.341297,-3.612233,REPSOL SOLUCIONES ENERGÉTICAS SA,2,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-120,Carretera convencional
2024006735,HYC23BZ0933A-,42.73453,-1.633457,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other,N-121,
2024004013,Hotel Narcea,43.355515,-4.112311,WENEA EMOBILITY SERVICES S.L.,6,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-634,Carretera convencional
2024000222,SA-Bejar-002,40.388157,-5.751917,IBERDROLA CLIENTES S.A.U,4,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-630A,Carretera convencional
RLWD3ELHW6SDAVSHPM21,Alcampo - Vilagarcía de Arousa,42.594414,-8.755006,Punto Recargas SL,6,90.0,chademo|iec62196T2COMBO,onstreet,N-640A,Carretera convencional
2024006479,ACCIONA - La Muga,42.37301,1.7629805,ACCIONA Recarga,2,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-260,Carretera convencional
LJOTHCFMQWJ8XLLARE6O,"Repsol ES, El Helmántico",41.017372,-5.67022,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-630,Carretera convencional
2FWLVF5MZAX4XUJXOIK7,TotalEnergies - Rest. Canoas La Ribera,43.430923,-5.062519,"TotalEnergies Charging Services España, SLU",6,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-634,Carretera convencional
AAXTOYCXBSEWW2R3EXXM,TotalEnergies - Hostal El Botero,40.7852,-1.34745,"TotalEnergies Charging Services España, SLU",4,100.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-234,Carretera convencional
NQFYJ6JEKHZFQ89JTEOK,"Repsol ES, Verin S.A. IZDA.",42.019314,-7.608592,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-525,Carretera convencional
2024006676,E-PO-Pontevedra-002,42.440037,-8.618166,IBERDROLA CLIENTES S.A.U,2,150.0,iec62196T2COMBO,,N-541,Carretera convencional
2025000618,VEPERSA PONTEVEDRA - CONCESIONARIO AUDI,42.440037,-8.618166,CHARGING TOGETHER SL,2,150.0,iec62196T2COMBO,,N-541,Carretera convencional
A1C0MXXCJMJQOGSPQQYF,Ap. BSM - Sant Genís,41.42686,2.14359,"BARCELONA DE SERVEIS MUNICIPALS, SA",10,7.2,domesticF|iec62196T2,inBuilding,B-20,Autopista libre\Autovía
2024007230,Sant Genís-Vall d´Hebron,41.42686,2.14359,"BARCELONA DE SERVEIS MUNICIPALS, SA",7,3.6,domesticF|iec62196T2,inBuilding,B-20,Autopista libre\Autovía
LU1K9P01QAH6MHAI7JPA,"Repsol ES, E.S. Valiño J.R.S.L.",42.930157,-8.144087,REPSOL SOLUCIONES ENERGÉTICAS SA,1,6.9,domesticF|iec62196T2,openSpace,N-547,Carretera convencional
V6A8O5P3A47PTZHTZDYJ,"Repsol ES, Santa Cruz de Mudela II",38.635555,-3.471584,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,A-4,Autopista libre\Autovía
2024004072,Rest. Las Vegas,39.287163,-6.320935,WENEA EMOBILITY SERVICES S.L.,7,240.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-630,Carretera convencional
RCR95BNRHIMWNHB0HN4N,"Repsol ES, Zarautz S.A",43.28479,-2.158873,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-634,
1ST9LXXEE8BAMPXXTFRW,LAG OLEIROS SLU,43.328884,-8.366269,LAG OLEIROS SLU,1,42.0,chademo,openSpace,AC-12,Multicarril
2024004092,Rest. Can Costa,42.24087,2.970646,WENEA EMOBILITY SERVICES S.L.,4,150.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-2A,Carretera convencional
AHMAIA7U3FMBTQ7K7AKQ,"Repsol ES, TERA GASOLINERA SL",41.996254,-6.025719,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-525,Carretera convencional
2024000575,BU-Belorado-001,42.418762,-3.191837,IBERDROLA CLIENTES S.A.U,2,50.0,chademo|iec62196T2COMBO,onstreet,N-120,Carretera convencional
GWZ9CBVAXPWWC7DQGZWN,"Repsol ES, Discarpe S.L",41.60235,-4.115048,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-122,Carretera convencional
EUSA4YLJCJIMZZJXCPZU,OU-Ourense-007,42.355373,-7.905144,IBERDROLA CLIENTES S.A.U,4,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-120,Multicarril
YJCHQJJ4P7NYAJ0V5LG1,NIMA GRUP - HOTEL TARRACOPARK- INGETEAM EdRR 1,41.115192,1.218196,"Etecnic Movilidad Electrica, SRL",4,55.0,chademo|iec62196T2|iec62196T2COMBO,other,N-340,Carretera convencional
RSRQQXR46W8BOPKZBF04,"Repsol ES, CRED Buenos AirES",40.955204,-5.706421,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-630,Carretera convencional
UM14RJIVMUNH7XL5GIZW,"Repsol ES, CRED Motilla Del Palancar",39.56518,-1.913989,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-3,Carretera convencional
TDDNMTUFXCTYBMAHDN3O,"Repsol ES, Maset S.A.",42.260727,2.949918,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-260,Carretera convencional
2024004048,Hotel Rest. Casa Celesto,43.38934,-6.009545,WENEA EMOBILITY SERVICES S.L.,3,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-634,Carretera convencional
Q5PFHUSAKY58NCL15R4E,Muebles La Factoria - Asturias,43.383102,-5.748537,Punto Recargas SL,4,100.0,chademo|iec62196T2COMBO,onstreet,N-634,Carretera convencional
LLZ4DMIH28SEBHGZLRW6,"Repsol ES, Alas",39.48121,-0.459635,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,A-3,Autopista libre\Autovía
ESGTPP9LUNBMQSRFYQ9M,Rest. Nou Urbisol,41.599354,1.701087,"WENEA HIGHWAYS OESTE, SLU",2,100.0,iec62196T2COMBO,onstreet,A-2,Autopista libre\Autovía
698RN1FKRHBKLZRSPADA,"Repsol ES, Los Valos S.L.U",42.236645,-8.595355,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-550,Carretera convencional
MYPOYUOF5LTPPLZTAIIS,"Repsol ES, LORENA Y NATALIA",39.53354,-1.600131,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-3,Carretera convencional
ZXJDH3FSHGU1V1UCEMAA,"Repsol ES, Petro Garrotxa S.L.",42.235676,2.29189,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-260,Carretera convencional
7HISQ0TPTGGK684QVW1V,"Repsol ES, CRED Tarragona",41.11639,1.228123,REPSOL SOLUCIONES ENERGÉTICAS SA,2,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-340,Carretera convencional
2024005029,C6E15BCC21ZKDYUAXR,28.121632,-15.424817,"ENDESA X WAY, S.L.",2,150.0,iec62196T2COMBO,openSpace,GC-1 AM,Multicarril
HC6FVMJTKGVUBNFL9HEG,FORD TARRAGONA - INGETEAM EdRSR  3,41.1164,1.230362,"Etecnic Movilidad Electrica, SRL",2,22.0,iec62196T2,other,N-340,Carretera convencional
2024005767,62226028860005,42.34644,1.42802,"ENDESA X WAY, S.L.",3,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-260,Carretera convencional
FCBQSXH6EIWIBQXGJO12,"Repsol ES, Proinpi S.L",40.465115,-5.325487,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-110,Carretera convencional
2024004924,Abanto Las Carreras,43.318974,-3.0981588,Atlante Iberia SL,1,22.0,iec62196T2,onstreet,N-634,
2024000558,SO-BurgodeOsma-001,41.587887,-3.067258,IBERDROLA CLIENTES S.A.U,4,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-122,Carretera convencional
US66KZ6Y19ZAXCFWIRKG,"Repsol ES, Armengol Morales S.L",42.43267,1.936314,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-152,Carretera convencional
G6KL2POLXUTRAYAT6J7H,"Repsol ES, CRED Salas",42.02304,-3.29473,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-234A,Carretera convencional
SM0RJ3W3NY4VHLD4YIER,NIMA GRUP - JAGUAR – LAND ROVER - INGETEAM EdRSR 8,41.116467,1.230811,"Etecnic Movilidad Electrica, SRL",2,22.0,iec62196T2,other,N-340,Carretera convencional
2024005061,21XP22T3KK4AL00145,38.1127,-3.09657,"ENDESA X WAY, S.L.",2,20.4,iec62196T2,openSpace,N-322,Carretera convencional
RWTRLSEEIFWBY0BR1UII,"Repsol ES, E.S. Fill-Up S.L.",38.878727,-6.962094,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-430,Multicarril
CVZIEAUYD6PWIXGCJWSM,TotalEnergies - Hotel Mabu,42.355366,-7.883431,"TotalEnergies Charging Services España, SLU",3,100.0,iec62196T2|iec62196T2COMBO,onstreet,N-120,Multicarril
HGCC1YLDGG4DSU2SHBJS,"Repsol ES, Fertol SRL",41.527275,-5.699888,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-122,Carretera convencional
ATFM3U8LBJ9WYRNUUT6D,Estación bp El Castillo,36.52034,-4.630344,CHARGING TOGETHER SL,2,100.0,chademo|iec62196T2COMBO,onstreet,A-7S,Autopista libre\Autovía
LKFZZBQPDSKG8KRNM27Z,"Repsol ES, Mosyper Gestion S.L.",43.328358,-8.389698,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-550,Carretera convencional
2025000580,Hotel Restaurante Baviera,43.375175,-4.487485,CHARGING TOGETHER SL,4,100.0,iec62196T2|iec62196T2COMBO,openSpace,N-634,Carretera convencional
2024000247,TE-Teruel-008,40.360207,-1.140202,IBERDROLA CLIENTES S.A.U,2,320.0,iec62196T2COMBO,openSpace,N-234,Carretera convencional
8WGA78VY2L7GRG9EVAYF,"Repsol ES, Gasolinera Carral S.L",43.22592,-8.356156,REPSOL SOLUCIONES ENERGÉTICAS SA,1,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,N-550,Carretera convencional
2024000202,L-TORREFARRERA-001,41.671745,0.604217,IBERDROLA CLIENTES S.A.U,4,180.0,iec62196T2|iec62196T2COMBO,onstreet,N-230,Carretera convencional
OZTHR8RS06F4FZJBXKXH,"Mercadona, Av. Das Mariñas, A Coruña",43.326546,-8.364246,REPSOL SOLUCIONES ENERGÉTICAS SA,6,22.17,iec62196T2,openSpace,AC-12,Multicarril
2023003024,20XM32T8KK3AR00051,37.18563,-3.960243,"ENDESA X WAY, S.L.",3,50.0,chademo|iec62196T2|iec62196T2COMBO,openSpace,A-92,Autopista libre\Autovía
2024006673,E-A-Elche/Elx-019,38.261524,-0.713642,IBERDROLA CLIENTES S.A.U,4,22.0,iec62196T2,,N-340,Carretera convencional
2024006790,BU-OÑA-003,42.73489,-3.414924,IBERDROLA CLIENTES S.A.U,2,100.0,iec62196T2COMBO,onstreet,N-232,Carretera convencional
2025000581,Mesón Ibérico Casa Marco - Fresno Alhándiga,40.69916,-5.623416,CHARGING TOGETHER SL,8,360.0,chademo|iec62196T2COMBO,openSpace,N-630,Carretera convencional
MU7F08US1CG6RRJ5GS1F,Restaurante El Corral de Don Pepe,42.647205,-5.593789,"Wenea Services Spain, S.L.",4,60.0,iec62196T2|iec62196T2COMBO,onstreet,N-630,Carretera convencional
6HDTCL4TZ3U9PYHBTJQS,TotalEnergies - Hotel Ciudad de Borja,41.83176,-1.52334,"TotalEnergies Charging Services España, SLU",4,100.0,chademo|iec62196T2|iec62196T2COMBO,onstreet,N-122,Carretera convencional
V8VETXQOQ0K2MAJZ8S5I,Estación bp Tafalla,42.49914,-1.672627,CHARGING TOGETHER SL,2,150.0,chademo|iec62196T2COMBO,onstreet,N-121,
