bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_047,39.779775,-0.317024,N-225,i-DE,600.0,Moderate
FRIC_048,42.358634,-1.653642,N-121,i-DE,600.0,Moderate
FRIC_049,42.121949,-0.28034,N-240A,i-DE,600.0,Moderate
FRIC_050,41.627476,-3.475477,N-122A,i-DE,600.0,Moderate
FRIC_051,41.418006,-3.381737,N-110A,i-DE,600.0,Moderate
FRIC_052,42.081367,-3.980324,N-622,i-DE,600.0,Moderate
FRIC_053,42.959569,-5.011963,N-621,i-DE,600.0,Moderate
FRIC_054,43.069502,-4.755363,N-621,Viesgo,600.0,Moderate
FRIC_055,43.201382,-4.590528,N-621,Viesgo,600.0,Moderate
FRIC_056,39.606359,-3.860472,N-401A,i-DE,600.0,Moderate
FRIC_057,42.617458,-1.040267,N-240R,i-DE,600.0,Moderate
FRIC_058,38.990644,-3.932581,N-430C,i-DE,600.0,Moderate
FRIC_059,36.166587,-5.364126,N-351,i-DE,600.0,Moderate
FRIC_060,38.381772,-0.457589,N-334,i-DE,600.0,Moderate
FRIC_061,38.290575,-0.558611,N-338,i-DE,600.0,Moderate
FRIC_062,36.155195,-5.447482,N-357,i-DE,600.0,Moderate
FRIC_063,37.462911,-4.568681,N-331R,i-DE,600.0,Moderate
FRIC_064,39.330201,-0.404311,N-332A,i-DE,600.0,Moderate
FRIC_065,41.308048,-1.919467,N-2R,i-DE,600.0,Moderate
FRIC_066,38.059938,-6.713108,N-435A,i-DE,600.0,Moderate
FRIC_067,42.823186,-4.198536,N-611A,i-DE,600.0,Moderate
FRIC_068,39.971297,-4.769404,N-5A,i-DE,600.0,Moderate
FRIC_069,38.97472,-0.164172,N-337,i-DE,600.0,Moderate
FRIC_070,40.528711,-2.810173,N-320A,i-DE,600.0,Moderate
FRIC_071,42.603322,-8.642385,N-550A,i-DE,600.0,Moderate
FRIC_072,42.628865,-3.857593,N-627,i-DE,600.0,Moderate
FRIC_073,42.722923,-4.055995,N-627,i-DE,600.0,Moderate
FRIC_074,42.360711,-7.85444,N-544,i-DE,600.0,Moderate
FRIC_075,43.113459,-2.519262,N-636,i-DE,600.0,Moderate
FRIC_076,42.847243,-7.126424,N-6A,i-DE,600.0,Moderate
FRIC_077,42.968822,-3.849042,N-623,i-DE,600.0,Moderate
FRIC_078,40.250149,-4.37262,N-403,i-DE,600.0,Moderate
FRIC_079,40.440371,-4.560559,N-403,i-DE,600.0,Moderate
FRIC_080,40.472056,-3.616441,M-11,Endesa,600.0,Moderate
FRIC_081,42.020519,-1.575433,A-68,i-DE,750.0,Moderate
FRIC_082,40.843696,-0.896139,N-211,i-DE,600.0,Moderate
FRIC_083,40.874296,-0.492921,N-211,i-DE,600.0,Moderate
FRIC_084,40.613092,-4.680296,N-403A,i-DE,600.0,Moderate
FRIC_085,41.145948,1.317442,AP-7N,Endesa,750.0,Congested
FRIC_086,38.887481,-1.401947,A-31,Endesa,750.0,Moderate
FRIC_087,41.140831,-0.37676,N-232,i-DE,600.0,Moderate
