bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_032,41.895027,2.775695,N-156,i-DE,900.0,Moderate
FRIC_033,40.843696,-0.896139,N-211,Endesa,600.0,Congested
FRIC_034,40.874296,-0.492921,N-211,Endesa,600.0,Congested
FRIC_035,39.779775,-0.317024,N-225,i-DE,600.0,Moderate
FRIC_036,42.121949,-0.28034,N-240A,i-DE,600.0,Moderate
FRIC_037,42.617458,-1.040267,N-240R,i-DE,600.0,Moderate
FRIC_038,42.614259,-0.205573,N-260A,Endesa,600.0,Congested
FRIC_039,41.308048,-1.919467,N-2R,i-DE,600.0,Moderate
FRIC_040,40.351327,-2.394025,N-320,i-DE,600.0,Moderate
FRIC_041,40.492154,-2.771717,N-320,i-DE,600.0,Moderate
FRIC_042,40.470225,-2.556165,N-320,i-DE,900.0,Moderate
FRIC_043,40.528711,-2.810173,N-320A,i-DE,600.0,Moderate
FRIC_044,37.152543,-4.556866,N-331,i-DE,900.0,Moderate
FRIC_045,37.462911,-4.568681,N-331R,i-DE,600.0,Moderate
FRIC_046,39.330201,-0.404311,N-332A,i-DE,600.0,Moderate
FRIC_047,38.381772,-0.457589,N-334,Endesa,600.0,Congested
FRIC_048,38.97472,-0.164172,N-337,Endesa,600.0,Moderate
FRIC_049,38.290575,-0.558611,N-338,i-DE,600.0,Moderate
FRIC_050,37.075128,-2.348701,N-340A,i-DE,900.0,Moderate
FRIC_051,38.544536,-1.287748,N-344,Endesa,600.0,Congested
FRIC_052,36.166587,-5.364126,N-351,Endesa,600.0,Congested
FRIC_053,36.155195,-5.447482,N-357,Endesa,600.0,Congested
FRIC_054,36.963226,-5.88346,N-4,i-DE,900.0,Moderate
FRIC_055,39.606359,-3.860472,N-401A,i-DE,600.0,Moderate
FRIC_056,40.250149,-4.37262,N-403,Endesa,600.0,Congested
FRIC_057,40.440371,-4.560559,N-403,Endesa,600.0,Congested
FRIC_058,38.990644,-3.932581,N-430C,i-DE,600.0,Moderate
FRIC_059,38.059938,-6.713108,N-435A,i-DE,600.0,Moderate
FRIC_060,37.169121,-6.893512,N-442,i-DE,900.0,Moderate
FRIC_061,39.718904,-5.740217,N-5,i-DE,900.0,Moderate
FRIC_062,39.152265,-6.647843,N-523,i-DE,900.0,Moderate
FRIC_063,42.012849,-6.278394,N-525,i-DE,900.0,Moderate
FRIC_064,42.729096,-7.760429,N-540,i-DE,900.0,Moderate
FRIC_065,42.360711,-7.85444,N-544,i-DE,600.0,Moderate
FRIC_066,43.097712,-8.402855,N-550,i-DE,900.0,Moderate
FRIC_067,42.603322,-8.642385,N-550A,i-DE,600.0,Moderate
FRIC_068,39.971297,-4.769404,N-5A,i-DE,600.0,Moderate
FRIC_069,42.823186,-4.198536,N-611A,i-DE,600.0,Moderate
FRIC_070,42.330377,-3.804403,N-620A,i-DE,900.0,Moderate
FRIC_071,42.959569,-5.011963,N-621,i-DE,600.0,Moderate
FRIC_072,43.069502,-4.755363,N-621,i-DE,600.0,Moderate
FRIC_073,43.201382,-4.590528,N-621,i-DE,600.0,Moderate
FRIC_074,42.081367,-3.980324,N-622,i-DE,600.0,Moderate
FRIC_075,42.968822,-3.849042,N-623,i-DE,600.0,Moderate
FRIC_076,42.628865,-3.857593,N-627,i-DE,600.0,Moderate
FRIC_077,42.722923,-4.055995,N-627,i-DE,600.0,Moderate
FRIC_078,43.232247,-2.400734,N-634,i-DE,900.0,Moderate
FRIC_079,43.113459,-2.519262,N-636,i-DE,600.0,Moderate
FRIC_080,43.378994,-8.17378,N-651,i-DE,600.0,Moderate
FRIC_081,43.378994,-8.17378,N-651,i-DE,900.0,Moderate
FRIC_082,42.847243,-7.126424,N-6A,i-DE,600.0,Moderate
FRIC_083,42.41505,-8.672133,PO-11,i-DE,1800.0,Moderate
FRIC_084,42.41505,-8.672133,PO-11,i-DE,900.0,Moderate
FRIC_085,40.574769,-3.285907,R-2,i-DE,1500.0,Moderate
FRIC_086,37.326387,-6.007085,SE-31,i-DE,900.0,Moderate
FRIC_087,41.708198,-2.483796,SO-20,i-DE,1800.0,Moderate
FRIC_088,41.708198,-2.483796,SO-20,i-DE,900.0,Moderate
FRIC_089,39.892588,-3.966426,TO-22,i-DE,1800.0,Moderate
FRIC_090,41.626018,-4.699134,VA-11,i-DE,900.0,Moderate
FRIC_091,41.524754,-5.71807,ZA-12,i-DE,1800.0,Moderate
